Genus,cumabun,mean.relabun
Bacillus,21.8154965,0.908979021
Virgibacillus,1.725085294,0.071878554
Pseudomonas,0.354372419,0.014765517
Solibacillus,0.041569402,0.001732058
Sporosarcina,0.028281559,0.001178398
Anaerobacillus,0.01481415,0.000617256
Bacillaceae,0.00888849,0.000370354
Paenibacillus,0.005566529,0.000231939
Colwelliaceae,0.001616089,6.73E-05
Fictibacillus,0.000897827,3.74E-05
Escherichia-Shigella,0.000808045,3.37E-05
Brevibacillus,0.000628479,2.62E-05
Sphingobacterium,0.000538696,2.24E-05
Blastococcus,0.000269348,1.12E-05
Subgroup 6,0.000179565,7.48E-06
Gemmatimonas,0.000179565,7.48E-06
Dyadobacter,0.000179565,7.48E-06
Promicromonospora,0.000179565,7.48E-06
Bdellovibrio,8.98E-05,3.74E-06
Arthrobacter,8.98E-05,3.74E-06
Nitrospira,8.98E-05,3.74E-06
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,8.98E-05,3.74E-06
Pedobacter,8.98E-05,3.74E-06