OTUID,Occ.CN,Domain,Phylum,Class,Order,Family,Genus,Species
EU231617.1.1548,1,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
HQ323430.1.1541,1,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus megaterium
KP232906.1.1565,1,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
AB909442.1.1204,0.9375,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus sp.
KT998876.1.1360,0.9375,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
HM100194.1.1428,0.875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus megaterium
HQ318731.1.1489,0.875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus flexus
JX133542.1.1512,0.875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KM251086.1.1461,0.875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KY621940.1.1212,0.875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus sp.
CP003017.4738540.4740093,0.8125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
EF682896.1.1527,0.8125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
FNLH01000015.365395.366926,0.8125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KT375323.1.1471,0.8125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
LT161887.1.1539,0.8125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
DQ129521.1.1515,0.75,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
JX293295.1.1455,0.75,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
AB533926.1.1539,0.6875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
AFEU01000001.796818.798378,0.6875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KJ882402.1.1473,0.6875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
DQ148952.1.1551,0.625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
FN430384.1.1490,0.625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
AY559419.1.1598,0.5625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
KY646001.1.1573,0.4375,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
AY148429.1.1547,0.375,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KJ685888.1.1525,0.375,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Virgibacillus,NA
KM108636.1.1509,0.375,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus sp. SG-1
LFZV01000001.3852991.3854551,0.375,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
LQXD01000001.79025.80958,0.375,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Anaerobacillus,NA
CP015027.1029839.1031395,0.3125,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Sporosarcina,NA
EU621383.1.1273,0.3125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
EU771840.1.1404,0.3125,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Solibacillus, uncultured bacterium
JF346899.1.1511,0.3125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KJ923780.2.1663,0.3125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pumilus
AB637131.1.1509,0.25,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
AJ550463.1.1513,0.25,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pumilus
DQ301762.1.1234,0.25,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
HQ620695.1.1592,0.25,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillaceae,NA
HQ848128.1.1453,0.25,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KT438835.1.1549,0.25,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KY777444.1.1555,0.25,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
CP006941.13451.15024,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus,NA
CP015378.146768.148325,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Fictibacillus,NA
CP019158.175094.176630,0.1875,Bacteria, Bacteroidetes, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium,NA
CTEA01000005.68.1615,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillaceae,NA
FJ227527.1.1519,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
FPLN01008484.58.1586,0.1875,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia-Shigella,NA
FR746074.1.1400,0.1875,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA
HAFT01016056.1.1423,0.1875,Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Colwelliaceae, Colwelliaceae, Spumella-like flagellate JBM08
HQ111353.1.1470,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus amyloliquefaciens
HQ453970.1.1570,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Virgibacillus,NA
JN082447.1.1554,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
JQ775345.1.1547,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
JX524820.1.1514,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Brevibacillus, Brevibacillus brevis
KC197356.1.1334,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KF741280.1.1459,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KJ767384.1.1524,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KR029299.1.1517,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Sporosarcina,NA
KX369384.1.1570,0.1875,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus subtilis
LNNI01000005.225118.226745,0.1875,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA
AB695971.1.1472,0.125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KC554661.1.1526,0.125,Bacteria, Actinobacteria, Actinobacteria, Frankiales, Geodermatophilaceae, Blastococcus, uncultured bacterium
KF625179.1.1776,0.125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
KM977825.1.1474,0.125,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
AB905983.1.1517,0.0625,Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Promicromonosporaceae, Promicromonospora,NA
ABCM01000001.364165.365666,0.0625,Bacteria, Bacteroidetes, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,NA
AF013121.1.1532,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pseudomycoides
AM292417.1.1546,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillaceae,NA
HQ120337.1.1406,0.0625,Bacteria, BRC1, uncultured bacterium, uncultured bacterium, uncultured bacterium, BRC1, uncultured bacterium
HQ330573.1.1396,0.0625,Bacteria, Proteobacteria, Gammaproteobacteria, Steroidobacterales, Steroidobacteraceae, Steroidobacteraceae,NA
HQ457013.1.1476,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
JN417563.1.1533,0.0625,Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Nitrospira,NA
JN882123.1.1511,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
KJ191972.1.1452,0.0625,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, uncultured, Rhizobiales, uncultured bacterium
KR029346.1.1530,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
KR029371.1.1539,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
ARNI01000005.12.1498,0,Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Spirosomaceae, Dyadobacter,NA
DQ129420.1.1508,0,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KJ600949.1.1573,0,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
KU517702.1.1523,0,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pumilus
KX783566.1.1548,0,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Domibacillus,NA