Domain,Phylum,Class,Order,Family,Genus,Species
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus sp.
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus megaterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus flexus
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus sp.
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus megaterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Virgibacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
Bacteria, Actinobacteria, Actinobacteria, Frankiales, Geodermatophilaceae, Blastococcus, uncultured bacterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, BRC1, uncultured bacterium, uncultured bacterium, uncultured bacterium, BRC1, uncultured bacterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus sp. SG-1
Bacteria, Proteobacteria, Gammaproteobacteria, Steroidobacterales, Steroidobacteraceae, Steroidobacteraceae,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Solibacillus, uncultured bacterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Virgibacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Fictibacillus,NA
Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, uncultured, Rhizobiales, uncultured bacterium
Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Sporosarcina,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Sporosarcina,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Nitrospira,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Brevibacillus, Brevibacillus brevis
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pumilus
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Anaerobacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pseudomycoides
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Spirosomaceae, Dyadobacter,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pumilus
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillaceae,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillaceae,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillaceae,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus subtilis
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia-Shigella,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus amyloliquefaciens
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pumilus
Bacteria, Bacteroidetes, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Domibacillus,NA
Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Promicromonosporaceae, Promicromonospora,NA
Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA
Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Colwelliaceae, Colwelliaceae, Spumella-like flagellate JBM08
Bacteria, Bacteroidetes, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium,NA